,peak_id,peak_name,peak_alternative_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id,location,region,latitude,longitude
456,LARK,Larkya Peak,"Granite Peak, Naike Peak",6416,Climbed,2017.0,Georgia,LARK17301,Manaslu/Mansiri,Manaslu-Ganesh,28.6279873,84.5435306
457,NUPW,Nuptse West II,Nuptse Nup II,7732,Climbed,,Unknown,Unknown,Unknown,Unknown,,
458,TENE,Tengi Ragi Tau East,Unknown,6675,Climbed,2005.0,France,TENE05301,Unknown,Unknown,,
459,NILE,Nilgiri East,Unknown,6698,Climbed,1970.0,Spain,Unknown,Unknown,Unknown,18.9774445,72.8358605
460,PEMR,Pemthang Ri,Unknown,6743,Unclimbed,,Unknown,Unknown,Unknown,Unknown,28.2992576,85.736021
461,FUTI,Futi Himal,Unknown,6425,Climbed,2014.0,Portugal,FUTI14101,Damodar,Annapurna-Damodar-Peri,,
462,SANB,Sano Bhrikuti,Unknown,6328,Climbed,2017.0,Switzerland,BHRS17101,Damodar,Khumbu-Rolwaling-Makalu,,
463,SANK,Sano Kailash,Unknown,6452,Climbed,2019.0,"Austria, Nepal",SANK19101,Damodar,Annapurna-Damodar-Peri,27.675545,85.3609485
464,TARS,Tarke Kang Shar,Tare Kang,7069,Climbed,1981.0,"Italy, Nepal",TARS81301,Unknown,Unknown,,
465,KORL,Korlang Pari Tippa,Korlang Pari Tippa North,5738,Unclimbed,,Unknown,Unknown,Unknown,Unknown,,
466,JANE,Jannu East,Khumbhakarna East,7460,Unclimbed,,Unknown,Unknown,Kangchenjunga/Simhalila,Kangchenjunga-Janak,,
467,YUBR,Yubra,Unknown,6264,Unclimbed,,Unknown,Unknown,Langtang,Langtang-Jugal,28.0049343,85.300912
